Occupation,Elimination_Week,Category
Neuropsychologist,1,Health Science
Doctor,1,Health Science
Account manager,1,Business Management & Administration
Account manager,4,Business Management & Administration
Advertising Executive,1,Sales & Marketing
Attorney,1,Law & Public Safety
Account representative,1,Business Management & Administration
6th Grade Teacher,1,Education
Technology Specialist,1,STEM
Special Ed. Teacher,2,Education
Production Coordinator,2,Arts & Communications
Hooters Waitress,2,Hospitality & Tourism
Actress,2,Arts & Communications
Photographer,2,Arts & Communications
Graduate Student,2,Education
Graduate Student,3,Education
Attorney,3,Law & Public Safety
Actress,3,Arts & Communications
Commercial Real Estate Agent,3,Sales & Marketing
Nanny,4,Human Services
Financial Management Consultant,5,Business Management & Administration
Event Planner,6,Business Management & Administration
College Student,7,Education
Psychologist,1,Human Services
Actress,1,Arts & Communications
3rd Grade Teacher,1,Education
Radiological Technologist,1,Health Science
Interior Designer,1,Architecture & Construction
College Student,1,Education
Paralegal,1,Law & Public Safety
Former NBA Cheerleader,1,Sports & Training
1st Grade Teacher,1,Education
Communications Specialist,1,Arts & Communications
Radio Sales,2,Sales & Marketing
Publications Quality Control,2,Business Management & Administration
Flight Attendant,2,Transportation, Distribution, & Logistics
Attorney,2,Law & Public Safety
Strategic Planning Analyst,2,Business Management & Administration
Assistant Financial Advisor,3,Finance
Marriage Therapy Trainee,3,Human Services
Airline Supervisor,3,Business Management & Administration
Graphic Artist,3,Arts & Communications
Account Manager,4,Business Management & Administration
Flight Attendant,4,Transportation, Distribution, & Logistics
Registered Nurse,5,Health Science
Executive Recruiter,6,Business Management & Administration
School Psychologist,7,Human Services
Account manager/sales,1,Business Management & Administration
Bank representative,1,Finance
Student,1,Education
Singer,1,Arts & Communications
Advertising Account Manager,6,Sales & Marketing
Consultant,2,Business Management & Administration
Model/make-up artist,2,Sales & Marketing
Model/executive assistant,2,Sales & Marketing
Massage therapist/bartender,2,Human Services
Hair stylist,2,Human Services
Advertising account manager,3,Sales & Marketing
Student,2,Education
Professional soccer player,2,Sports & Training
Swim instructor/nanny/personal trainer,3,Sports & Training
Attorney,3,Law & Public Safety
Professional Cheerleader,3,Sports & Training
Advertising account manager,4,Sales & Marketing
Pharmaceutical sales,4,Sales & Marketing
Prosthetic technician,4,Health Science
Model,5,Sales & Marketing
Designer for an architect firm,6,Architecture & Construction
General contractor,7,Architecture & Construction
Student,8,Education
Hotel concierge,1,Hospitality & Tourism
Model,1,Sales & Marketing
Beer chemist,1,Agriculture, Food & Natural Resources
Attorney,1,Law & Public Safety
Restaurateur,1,Hospitality & Tourism
Dancer,1,Arts & Communications
Physician,1,Health Science
Registered nurse,1,Health Science
Assistant buyer,1,Sales & Marketing
Dolphin trainer,1,Hospitality & Tourism
Attorney,1,Law & Public Safety
Broadcast marketer,1,Sales & Marketing
Policy advisor,1,Government & Public Administration
Make-up artist,1,Arts & Communications
Realtor,1,Sales & Marketing
Realtor,2,Sales & Marketing
Interior designer,2,Architecture & Construction
Journalist,2,Arts & Communications
Socialite,3,Miscellaneous
Ultrasound technician,3,Health Science
Event planner,3,Business Management & Administration
Realtor,4,Sales & Marketing
Teacher,4,Education
Student,5,Education
Bar Manager,1,Hospitality & Tourism
Publicist,7,Sales & Marketing
Teacher,8,Education
Radio sales,1,Sales & Marketing
Waitress,1,Hospitality & Tourism
Former Miss Illinois,1,Miscellaneous
Attorney,1,Law & Public Safety
Executive coordinator,1,Business Management & Administration
Bar manager,3,Hospitality & Tourism
Hedge fund analyst,1,Finance
Attorney,1,Law & Public Safety
Student,1,Education
Real estate sales/development,1,Sales & Marketing
Attorney,2,Law & Public Safety
Boutique manager,2,Business Management & Administration
Casino Marketing representative,1,Sales & Marketing
Financial analyst,3,Finance
Financial analyst,3,Finance
Sorority recruiter,3,Miscellaneous
Boutique owner,4,Business Management & Administration
Business development manager,10,Business Management & Administration
Organ donor coordinator,4,Health Science
Cosmetic Sales Manager,4,Sales & Marketing
Medical student,5,Education
Teacher,6,Education
Graphic Designer,7,Arts & Communications
Assistant,8,Business Management & Administration
Social Worker,9,Human Services
News anchor,1,Arts & Communications
Law student,1,Education
Realtor,1,Sales & Marketing
Timothy's Biology teacher,1,Miscellaneous
Event planner,1,Business Management & Administration
Graduate student,1,Education
Law student,1,Education
Church marketing representative,2,Sales & Marketing
Project analyst,1,Business Management & Administration
Emergency room nurse,1,Health Science
Publishing sales executive,2,Sales & Marketing
Nanny,2,Human Services
Realtor,2,Sales & Marketing
Model,3,Sales & Marketing
Esthetician,3,Human Services
Boutique sales worker,4,Sales & Marketing
Fashion public relations manager,1,Business Management & Administration
Executive assistant,4,Business Management & Administration
Registered nurse,5,Health Science
Acupuncturist,5,Health Science
Internet marketing executive,6,Sales & Marketing
Realtor,7,Sales & Marketing
Realtor,8,Sales & Marketing
Phoenix Suns Cheerleader,8,Sports & Training
Entrepreneur,1,Business Management & Administration
Biology student,1,Education
Law student,1,Education
Attorney and former White House aide,1,Law & Public Safety
Makeup artist,1,Arts & Communications
Youth minister,1,Human Services
Interior designer,1,Architecture & Construction
Attorney,1,Law & Public Safety
Graduate student,1,Education
Cocktail waitress,1,Hospitality & Tourism
Entrepreneur,1,Business Management & Administration
Fashion sales representative,7,Sales & Marketing
Event planner,2,Business Management & Administration
Administrative assistant,2,Business Management & Administration
Nanny,3,Human Services
Hot-dog vendor,3,Sales & Marketing
Personal trainer,3,Sports & Training
Singer-songwriter,4,Arts & Communications
Insurance Representative,1,Sales & Marketing
Children's book author,4,Arts & Communications
Fashion designer,5,Arts & Communications
Advertising coordinator,5,Sales & Marketing
Photographer,6,Arts & Communications
Account Executive,7,Business Management & Administration
Actress,8,Arts & Communications
Department Store Buyer,8,Sales & Marketing
Flight Attendant,1,Transportation, Distribution, & Logistics
Internet entrepreneur,1,Business Management & Administration
Wedding Coordinator,1,Business Management & Administration
Teacher,1,Education
Menswear Buyer,1,Sales & Marketing
Jewelry Designer,1,Arts & Communications
Account Executive,1,Business Management & Administration
Single Mother & Charity Accountant,1,Miscellaneous
Single Mother and Nurse Practitioner,1,Health Science
Medical Student,2,Education
Teacher,2,Education
Public Relations Associate,2,Sales & Marketing
Account Executive,3,Business Management & Administration
Account Executive,3,Business Management & Administration
Human Resources Recruiter,3,Business Management & Administration
Teacher,4,Education
Single Mother and Lacrosse Coach,4,Miscellaneous
Dental Hygienist,4,Health Science
Administrative Assistant,4,Business Management & Administration
Marketing Representative,8,Sales & Marketing
Flight Attendant,6,Transportation, Distribution, & Logistics
Interior Designer,7,Architecture & Construction
Medical equipment sales rep,2,Sales & Marketing
College Admissions,8,Education
Spokesmodel,1,Sales & Marketing
Mortgage Loan Officer,1,Finance
Captain Air National Guard,1,Miscellaneous
Fitness Model,1,Sales & Marketing
NBA Dancer,1,Arts & Communications
Waitress,1,Hospitality & Tourism
Medical sales representative,4,Sales & Marketing
Commercial Pilot,1,Transportation, Distribution, & Logistics
Dance Teacher,1,Arts & Communications
Medical Technician,1,Health Science
Teacher,2,Education
Health care manager,1,Business Management & Administration
Model/Make-Up Artist,2,Arts & Communications
Nanny,3,Human Services
Homemaker,3,Miscellaneous
Health Club Manager,3,Business Management & Administration
LASIK Eye and Skin Center manager,3,Business Management & Administration
Marketing manager,6,Sales & Marketing
Corporate Flight Attendant,4,Transportation, Distribution, & Logistics
Hair Stylist,4,Human Services
Wardrobe Consultant,5,Human Services
Swimsuit Model,7,Sales & Marketing
Medical Sales representative,1,Sales & Marketing
Executive Assistant,10,Business Management & Administration
Paralegal,1,Law & Public Safety
Attorney,1,Law & Public Safety
Sales director,1,Sales & Marketing
Insurance agent,1,Sales & Marketing
High School Teacher,1,Education
Sales Consultant,1,Sales & Marketing
Esthetician,1,Human Services
Nanny,1,Human Services
Musical Theatre Performer,1,Arts & Communications
Radio City Rockette,2,Arts & Communications
Waitress,2,Hospitality & Tourism
Manscaper,2,Human Services
Marketing Coordinator,3,Sales & Marketing
Real Estate Broker,3,Sales & Marketing
Model,3,Sales & Marketing
First grade teacher,4,Education
Fashion Marketer,4,Sales & Marketing
Bartender,4,Hospitality & Tourism
Marketing Coordinator,5,Sales & Marketing
Sports Publicist,5,Arts & Communications
Nanny,5,Human Services
Artist,6,Arts & Communications
Apparel merchant,6,Sales & Marketing
Hair stylist,7,Human Services
Food writer,7,Arts & Communications
Funeral Director,8,Human Services
Dental Student,9,Education
Children's Hospital Event Planner,10,Business Management & Administration
Office Manager,3,Business Management & Administration
Labor and delivery nurse,1,Health Science
Critical care nurse,1,Health Science
Student,1,Education
Nonprofit director,1,Business Management & Administration
Medical sales representative,3,Sales & Marketing
Actress,1,Arts & Communications
Blogger,2,Arts & Communications
Financial advisor,2,Finance
Pharmaceutical sales representative,8,Sales & Marketing
Law student,3,Law & Public Safety
Oil Field Account Manager,5,Business Management & Administration
Dental consultant,4,Health Science
Operations Manager,1,Business Management & Administration
Personal trainer,5,Sports & Training
Accountant,5,Business Management & Administration
VIP cocktail waitress,6,Hospitality & Tourism
Trading clerk,6,Finance
Registered nurse,6,Health Science
PhD Student,7,Education
Pharmaceutical sales representative,1,Sales & Marketing
Administrative assistant,8,Business Management & Administration
Dental hygienist,9,Health Science
Model,10,Sales & Marketing
Substitute Teacher,10,Education
Hair Stylist,1,Human Services
Fashion Model,1,Sales & Marketing
Cruise Ship Entertainer,1,Hospitality & Tourism
Power Tool Sales representative,2,Sales & Marketing
Graduate Student,1,Education
Journalist,1,Arts & Communications
Jumbotron Operator,1,Miscellaneous
Community Organizer,2,Human Services
Salon Owner,2,Business Management & Administration
Yoga Instructor,2,Sports & Training
Administrative Assistant,3,Business Management & Administration
Model,3,Sales & Marketing
Fit Model,4,Sales & Marketing
Poker Dealer,4,Hospitality & Tourism
Cosmetics Consultant,5,Sales & Marketing
Project Manager,5,Business Management & Administration
Commercial Casting Associate,6,Arts & Communications
Advertising Executive,6,Sales & Marketing
Real Estate Dealer,6,Sales & Marketing
Political Consultant,7,Government & Public Administration
Leasing Consultant,7,Sales & Marketing
Bridal Stylist,8,Arts & Communications
Personal Organizer,9,Miscellaneous
Graphic Designer,10,Arts & Communications
Real estate marketing representative,1,Sales & Marketing
Restaurant Manager,2,Hospitality & Tourism
Retail Manager,1,Sales & Marketing
Sales Representative,8,Sales & Marketing
Ballet Teacher,1,Arts & Communications
Cowgirl,1,Miscellaneous
Gerontologist,2,STEM
Single Mother & Medical Marketing representative,5,Sales & Marketing
Retail Manager,4,Sales & Marketing
Retail manager,1,Sales & Marketing
Retail manager,2,Sales & Marketing
Sales Manager,4,Sales & Marketing
